limit_bal,age,bill_amt1,bill_amt2,bill_amt3,pay_amt1,pay_amt2,pay_amt3,pay_0,pay_2,pay_3,sex,education,marriage,default
10000.0,51.0,110040.04237886166,52612.30841424356,41530.86045550625,44941.72665301595,57368.0244714797,38290.166885163315,6.0,2.0,-1.0,1,3,3,1
307407.0,47.0,0.0,172836.41187999095,45233.82165673119,0.0,0.0,22494.35493158065,7.0,0.0,0.0,2,2,2,1
409603.0,32.0,0.0,159984.04625633813,35307.27908327138,0.0,19662.61598452706,66783.55925383749,8.0,-2.0,2.0,2,1,2,0
217002.0,43.0,35481.636571029965,135064.23995384044,44261.49407798202,0.0,0.0,25044.220979300684,6.0,-1.0,5.0,1,1,2,0
10000.0,26.0,193350.69729396707,65061.99382533609,110643.74579033464,6232.5606515151085,77104.56372287036,0.0,2.0,1.0,1.0,1,3,3,1
349933.0,24.0,36348.2916688172,248602.19589054698,72665.42866425292,30150.10086138906,0.0,0.0,2.0,4.0,-0.0,2,3,1,0
228609.0,34.0,39205.669336892344,117727.03207591025,82995.82084948901,8234.28829121246,55073.819059058704,38471.793909929445,8.0,0.0,6.0,1,3,1,0
257165.0,38.0,71278.30001224882,231613.44230086298,167502.86029154225,21408.323019058433,0.0,0.0,-2.0,-0.0,3.0,2,1,3,0
479861.0,24.0,0.0,298239.53257148457,39567.56461364601,45226.54125035449,0.0,0.0,-1.0,0.0,5.0,1,3,2,0
209132.0,36.0,30713.18550320249,68547.03936577763,40474.11817804923,418.36002767668833,0.0,95961.59396679385,-2.0,1.0,-2.0,1,1,1,1
10000.0,58.0,132447.25341055257,17933.55765200781,112093.60242340332,0.0,151914.4795205636,69146.29800017783,-2.0,4.0,6.0,2,1,2,0
59882.0,53.0,90410.28559882745,61965.16394128932,3966.3855613116903,26480.87366730759,62278.097983997686,51947.8421425349,2.0,2.0,6.0,2,2,1,0
25407.0,68.0,100349.46367425553,34086.00907834975,54471.752741532146,14297.819007038914,6728.716301749973,27716.432587255873,-2.0,1.0,6.0,2,3,2,0
10000.0,53.0,0.0,50996.66703236005,68263.79824202896,16948.129865917377,160000.0,11503.347985664732,-2.0,-2.0,-1.0,2,3,1,1
10000.0,75.0,26777.468434744776,108380.25466477885,127380.76422288359,8180.987911685575,0.0,0.0,-2.0,2.0,7.0,2,4,2,0
227316.0,27.0,0.0,0.0,45639.00157758598,28377.732338671805,160000.0,43526.587121959485,8.0,0.0,0.0,2,4,3,0
39335.0,38.0,0.0,0.0,39443.56224376391,6511.315568711418,160000.0,35805.10954967129,8.0,3.0,2.0,2,2,1,0
119858.0,49.0,76412.92647193486,61072.628486776055,71404.13775034358,26852.001510999038,0.0,15004.206168008248,4.0,1.0,5.0,1,4,3,0
375647.0,21.0,58929.85377129704,215132.50946206678,96962.59846328947,18065.79769988652,16772.58234792965,15709.052616402041,-2.0,-0.0,4.0,2,1,1,0
208838.0,42.0,43851.73398746921,1852.581154315776,0.0,46960.83834535586,127496.21087838901,16310.195423767394,8.0,3.0,7.0,1,4,2,0
10000.0,49.0,74527.39224629223,0.0,135896.92205394083,22727.047934295144,160000.0,46187.11960221031,-2.0,2.0,7.0,2,2,3,0
10000.0,55.0,151223.1831332628,0.0,72220.92411969279,37503.96584910677,103946.18035078832,71400.42783656786,2.0,-1.0,6.0,1,4,3,0
181775.0,28.0,0.0,134972.66928133374,137373.34772506554,0.0,37570.25652028456,0.0,8.0,-2.0,0.0,1,4,1,0
72264.0,35.0,130392.07693996822,0.0,76635.4188894642,35945.441008993774,22660.108173711717,31739.131970833736,7.0,3.0,8.0,2,3,1,0
64492.0,47.0,167734.96557772788,149500.41216009256,72973.17572859107,15341.465971617192,28767.591105880696,46089.82837928881,-2.0,5.0,-1.0,2,4,3,1
211686.0,62.0,0.0,17786.13509201367,57518.61916043758,17851.524751096804,0.0,10972.300052495677,6.0,2.0,3.0,2,1,3,0
466201.0,45.0,0.0,231659.38322428998,99491.7352439599,21944.223841086827,35512.37364456162,47153.499374754,4.0,1.0,8.0,1,1,2,0
351563.0,26.0,0.0,169766.94556950717,30628.232898731294,31686.181479552917,109543.00566869945,0.0,8.0,-0.0,8.0,2,3,1,1
10000.0,34.0,56363.61019587264,94627.75010723465,650.1236289363296,3122.961634534031,122752.44950611597,0.0,6.0,3.0,3.0,2,3,2,1
145726.0,48.0,0.0,19239.47722165034,142312.257648248,4540.812917076568,39113.8686407301,36798.161755208755,8.0,1.0,5.0,1,1,2,0
10000.0,62.0,0.0,61565.62314003126,22093.384949842424,18180.07643325069,0.0,0.0,1.0,1.0,3.0,1,3,2,0
157440.0,50.0,0.0,40803.748854039826,59617.32778048627,789.6629997193704,108085.72268079997,0.0,8.0,2.0,8.0,1,1,1,0
241904.0,21.0,127536.97771639269,26123.382140085043,0.0,219.14099562491174,0.0,7146.474938979412,-2.0,1.0,-2.0,1,4,1,1
37797.0,27.0,151537.73302420316,127165.01230866194,112100.40603083104,3985.985432650754,26196.51748137719,6556.38367509775,1.0,-0.0,-1.0,2,1,3,0
239788.0,33.0,10453.265132932123,0.0,0.0,4120.177107318757,0.0,24931.871082193324,8.0,2.0,-2.0,2,2,1,0
64869.0,60.0,15519.86465176376,116953.74858945541,120127.88769715707,11570.069975774899,0.0,0.0,3.0,0.0,3.0,1,4,3,0
68976.0,51.0,57939.80462241372,251531.50350438376,37200.64844232787,14966.363385436123,89650.09840464508,15869.888479323217,1.0,5.0,1.0,2,3,2,1
276343.0,25.0,77380.96335616676,82116.5261926404,114239.06581949792,34756.14495923724,95106.39322916449,22635.726809342497,-2.0,1.0,-2.0,2,3,2,1
10000.0,55.0,166528.78644681774,174838.73524860857,0.0,25291.494352938098,0.0,0.0,5.0,3.0,-2.0,1,3,3,1
99204.0,45.0,0.0,96582.9229519341,69052.0805800329,0.0,92316.25516295969,65402.333898492056,-2.0,4.0,-2.0,2,4,1,1
299561.0,51.0,0.0,236295.97166846495,104088.76521174527,10482.38504768641,86098.77436894082,64948.78194805816,8.0,3.0,-1.0,1,2,3,0
177973.0,21.0,240857.19730406205,103936.17061987796,51892.2408892301,21196.974573595366,0.0,87339.69350019455,-2.0,1.0,-1.0,2,4,1,1
179262.0,28.0,147158.940547182,0.0,87009.43478954991,27998.76728603961,0.0,15066.86699499899,8.0,-2.0,8.0,2,3,2,0
62692.0,43.0,42198.33132704078,0.0,16661.136235395963,34421.048346378695,102267.35821156486,0.0,8.0,-1.0,5.0,1,4,2,1
142567.0,21.0,184713.91512125463,148162.2681279615,52843.88841497991,17710.460969554395,68785.36664712608,17836.063802873112,0.0,-2.0,-1.0,1,3,2,0
151159.0,21.0,293380.06105879234,172765.69318072655,71145.75955261831,40089.61924798634,0.0,0.0,-2.0,1.0,-0.0,2,1,1,1
